measure time,temperature (ºC),air humidity (%),light (lux),water (%),ec (µS),battery (%)
23:27:4 4/4/2024,29.758956,1.9,18930,24.234446,37.856259,84.96395
0:27:4 5/4/2024,28.729394,6.0,11320,24.305614,37.971517,84.432525
1:27:4 5/4/2024,27.135564,10.8,3150,24.163255,37.944188,84.96395
2:27:4 5/4/2024,27.5,32.2,0,40.03772,83.325642,84.96395
3:27:4 5/4/2024,26.0,36.8,0,38.41273,72.300882,84.96395
4:27:4 5/4/2024,25.0,39.5,0,38.049088,67.927186,84.96395
5:27:4 5/4/2024,24.0,41.4,0,37.249942,65.378688,84.96395
6:27:4 5/4/2024,23.3,43.4,0,36.89103,63.512474,84.96395
7:27:4 5/4/2024,22.6,44.5,0,36.78692,62.011282,84.96395
8:27:4 5/4/2024,23.1,45.6,0,36.350297,60.76879,84.96395
9:27:4 5/4/2024,23.3,46.0,0,36.377083,59.775527,84.96395
10:27:4 5/4/2024,23.3,45.9,0,36.188722,58.982237,84.96395
11:27:4 5/4/2024,23.5,47.4,0,35.984699,58.269356,84.96395
12:27:4 5/4/2024,23.8,45.8,0,36.039326,57.657269,84.96395
13:27:4 5/4/2024,23.6,47.7,40,35.55598,57.156684,84.96395
14:27:4 5/4/2024,24.893938,50.4,7160,35.667516,56.696718,84.96395
15:27:4 5/4/2024,28.070098,31.9,26710,35.55598,56.298975,84.96395
16:27:4 5/4/2024,27.533148,28.2,11150,35.471925,56.056288,84.96395
17:27:4 5/4/2024,29.28862,13.3,22600,35.160801,55.917441,84.432525
18:27:4 5/4/2024,32.778064,1.0,37040,35.08946,55.868255,84.432525
19:27:4 5/4/2024,32.433498,1.0,38910,34.946089,55.99802,84.432525
20:27:4 5/4/2024,31.856845,1.0,39680,34.845186,56.217963,84.432525
21:27:4 5/4/2024,32.216826,1.0,39880,35.017889,56.398149,84.432525
22:27:4 5/4/2024,31.486612,1.0,39980,34.510559,56.565334,84.432525
23:27:4 5/4/2024,30.558716,1.0,36770,34.348875,56.56986,84.432525
0:27:4 6/4/2024,28.107616,6.2,6990,34.539843,56.398149,84.432525
1:27:4 6/4/2024,31.1,10.7,1610,34.304598,55.971147,84.432525
2:27:4 6/4/2024,29.1,14.6,0,33.706982,55.263703,84.432525
3:27:4 6/4/2024,27.9,17.2,0,33.494713,54.482325,84.432525
4:27:4 6/4/2024,26.4,20.7,0,33.342138,53.673335,84.96395
5:27:4 6/4/2024,24.6,24.8,0,33.357431,52.948319,84.96395
6:27:4 6/4/2024,24.9,27.1,0,33.019197,52.253994,84.432525
7:27:4 6/4/2024,25.4,26.8,0,33.111811,51.647218,84.96395
8:27:4 6/4/2024,25.3,27.7,0,32.972787,51.11287,84.432525
9:27:4 6/4/2024,24.8,29.0,0,32.599094,50.644788,84.96395
10:27:4 6/4/2024,24.5,30.2,0,32.661671,50.245266,84.96395
11:27:4 6/4/2024,23.5,32.7,0,32.331858,49.868839,84.96395
12:27:4 6/4/2024,22.9,34.1,0,32.457873,49.507112,84.96395
13:27:4 6/4/2024,23.2,34.7,20,32.141989,49.167672,84.96395
14:27:4 6/4/2024,24.3,33.4,2040,32.094366,48.893102,84.96395
15:27:4 6/4/2024,23.845386,48.9,7530,32.52071,48.620066,84.96395
16:27:4 6/4/2024,24.153701,54.4,9390,32.252868,48.406608,84.432525
17:27:4 6/4/2024,24.254868,60.1,14090,32.062583,48.240375,84.96395
18:27:4 6/4/2024,24.845879,58.1,7900,32.078478,48.155547,84.432525
20:27:4 6/4/2024,26.767035,52.2,30950,32.18955,48.0901,84.432525
21:27:4 6/4/2024,26.515415,44.0,10830,32.646038,48.143991,84.432525
22:27:4 6/4/2024,27.95689,33.4,36590,32.252868,48.240375,84.432525
23:27:4 6/4/2024,27.216059,33.4,38810,32.505012,48.336953,84.432525
0:27:4 7/4/2024,26.808503,31.5,13550,32.677297,48.429849,84.432525
1:27:4 7/4/2024,28.0,37.9,2960,32.457873,48.484121,84.432525
2:27:4 7/4/2024,25.8,46.2,0,32.221223,48.418227,84.432525
3:27:4 7/4/2024,24.4,51.1,0,32.536401,48.294435,84.432525
4:27:4 7/4/2024,25.1,51.4,0,32.316074,48.093947,84.432525
5:27:4 7/4/2024,24.9,51.2,0,32.489306,47.898124,84.432525
6:27:4 7/4/2024,24.9,52.0,0,32.030772,47.710731,84.432525
7:27:4 7/4/2024,24.5,53.1,0,32.173704,47.539281,84.432525
8:27:4 7/4/2024,24.7,52.6,0,31.91922,47.376027,84.432525
9:27:4 7/4/2024,24.3,53.0,0,32.110247,47.209556,84.432525
10:27:4 7/4/2024,24.6,54.3,0,32.26868,47.077554,84.432525
11:27:4 7/4/2024,24.2,65.3,0,31.983005,46.930901,84.432525
12:27:4 7/4/2024,24.1,69.4,0,32.15785,46.822148,84.432525
13:27:4 7/4/2024,24.0,71.2,10,31.695129,46.650159,84.432525
14:27:4 7/4/2024,24.1,74.0,1280,31.727221,46.523443,84.432525
15:27:4 7/4/2024,23.845386,76.5,4130,31.759288,46.389648,84.432525
16:27:4 7/4/2024,24.454872,81.9,10520,32.300283,46.278446,84.432525
17:27:4 7/4/2024,24.454872,81.0,7810,32.046681,46.241438,84.432525
18:27:4 7/4/2024,24.454872,80.9,8470,33.706982,46.282149,84.432525
19:27:4 7/4/2024,25.225468,91.3,35180,39.666108,81.096218,84.432525
20:27:4 7/4/2024,26.17216,88.3,37130,38.919547,77.829173,84.432525
21:27:4 7/4/2024,28.330479,76.0,38240,38.343256,73.361284,83.896699
22:27:4 7/4/2024,28.476959,54.8,36680,38.120373,69.816916,83.896699
23:27:4 7/4/2024,27.918933,53.3,33000,37.426146,67.456054,83.896699
0:27:4 8/4/2024,26.557691,57.2,9510,37.249942,65.593482,84.432525
1:27:4 8/4/2024,25.084418,60.2,3650,37.148274,64.279215,83.896699
2:27:4 8/4/2024,25.0,74.0,0,36.576651,63.188121,84.432525
3:27:4 8/4/2024,24.0,82.2,0,36.56342,62.135428,84.432525
4:27:4 8/4/2024,24.1,85.3,0,36.629472,61.051412,84.432525
5:27:4 8/4/2024,23.9,87.2,0,36.350297,60.279756,84.432525
6:27:4 8/4/2024,24.1,88.4,0,36.052958,59.589318,84.432525
7:27:4 8/4/2024,23.5,88.0,0,36.310042,58.986956,84.432525
8:27:4 8/4/2024,23.4,89.1,0,36.052958,58.446765,84.432525
9:27:4 8/4/2024,23.2,88.9,0,35.7646,57.97178,84.432525
10:27:4 8/4/2024,22.7,88.8,0,35.73691,57.532864,84.432525
11:27:4 8/4/2024,23.9,90.6,0,35.888717,57.097272,83.896699
12:27:4 8/4/2024,24.3,90.7,0,35.833652,56.705791,83.896699
13:27:4 8/4/2024,24.0,90.6,30,36.025684,56.366575,84.432525
14:27:4 8/4/2024,25.1,90.9,2500,35.625762,56.137067,84.432525
15:27:4 8/4/2024,23.582751,90.7,5680,36.256224,55.948763,84.432525
16:27:4 8/4/2024,24.749225,93.1,12900,37.109966,57.184125,83.896699
17:27:4 8/4/2024,26.387754,62.1,17890,37.735274,63.066917,83.896699
18:27:4 8/4/2024,28.219525,91.6,38810,37.771887,66.130915,83.896699
19:27:4 8/4/2024,29.356862,37.9,39290,37.476085,65.666988,83.896699
20:27:4 8/4/2024,27.880866,26.9,20180,37.173758,65.065622,83.896699
21:27:4 8/4/2024,28.729394,29.7,40270,37.186483,64.0636,83.896699
22:27:4 8/4/2024,30.712929,21.5,39780,36.813012,63.031609,83.356354
23:27:4 8/4/2024,28.182329,29.0,28970,36.734607,62.120518,83.896699
0:27:4 9/4/2024,27.054567,33.0,9860,36.175191,61.433564,83.896699
1:27:4 9/4/2024,27.1,60.2,2400,35.984699,60.574641,83.896699
2:27:4 9/4/2024,26.1,64.7,0,36.120966,59.670415,83.896699
3:27:4 9/4/2024,25.0,71.8,0,35.957325,58.793796,83.896699
4:27:4 9/4/2024,25.2,79.2,0,35.819862,57.948595,83.896699
5:27:4 9/4/2024,25.0,85.7,0,35.653608,57.197851,83.896699
6:27:4 9/4/2024,25.1,89.0,0,35.471925,56.362065,83.896699
7:27:4 9/4/2024,24.8,90.4,0,35.401616,55.872725,83.896699
8:27:4 9/4/2024,25.1,90.7,0,35.55598,55.565157,83.896699
9:27:4 9/4/2024,24.8,90.8,0,35.260288,55.330059,83.896699
10:27:4 9/4/2024,24.7,91.1,0,35.260288,55.051898,83.896699
11:27:4 9/4/2024,24.8,91.3,0,35.160801,54.814586,83.896699
12:27:4 9/4/2024,24.8,91.4,0,35.132293,54.565201,83.896699
13:27:4 9/4/2024,25.0,91.6,40,35.513996,54.286541,83.896699
14:27:4 9/4/2024,24.5,91.8,840,35.569956,53.966114,83.896699
15:27:4 9/4/2024,24.5,92.0,1290,43.03561,134.714312,83.896699
16:27:4 9/4/2024,25.411186,99.9,33000,40.948872,75.643864,83.896699
17:27:4 9/4/2024,25.503059,79.5,11290,40.103976,68.785731,83.896699
18:27:4 9/4/2024,26.128609,91.2,10040,39.595488,67.580287,83.896699
19:27:4 9/4/2024,25.997073,92.9,17030,39.211277,65.840578,83.896699
20:27:4 9/4/2024,26.767035,92.4,22160,38.908562,64.557502,83.896699
21:27:4 9/4/2024,26.891043,88.2,12100,39.017838,63.329822,83.896699
22:27:4 9/4/2024,25.729941,88.5,16900,38.618495,62.639516,83.896699
23:27:4 9/4/2024,26.084912,84.6,10670,38.697428,62.125488,83.896699
0:27:4 10/4/2024,24.941821,83.4,4060,38.550352,61.586108,83.896699
1:27:4 10/4/2024,25.8,86.4,1730,38.096659,61.085611,83.896699
2:27:4 10/4/2024,25.1,90.1,0,38.238223,60.61827,83.896699
3:27:4 10/4/2024,24.2,90.5,0,37.820541,60.168944,83.896699
4:27:4 10/4/2024,23.7,90.7,0,38.037165,59.617928,83.896699
5:27:4 10/4/2024,23.7,91.4,0,37.92933,59.232853,83.896699
6:27:4 10/4/2024,23.5,92.4,0,37.856909,58.812613,83.896699
7:27:4 10/4/2024,23.9,92.9,0,37.525843,58.418717,83.896699
8:27:4 10/4/2024,24.0,92.9,0,37.463618,58.180854,83.896699
9:27:4 10/4/2024,24.2,93.1,0,37.710808,57.874469,83.896699
10:27:4 10/4/2024,23.5,93.0,0,37.64944,57.689566,83.896699
11:27:4 10/4/2024,24.0,93.2,0,37.30051,57.500655,83.896699
12:27:4 10/4/2024,23.8,93.1,0,37.674022,57.220735,83.896699
13:27:4 10/4/2024,23.6,93.3,50,37.989357,57.698797,83.896699
14:27:4 10/4/2024,23.422584,94.6,7080,37.796237,57.916153,83.896699
15:27:4 10/4/2024,23.845386,94.9,5660,37.989357,58.545038,83.896699
16:27:4 10/4/2024,24.602882,98.3,8900,38.974282,60.773652,83.356354
17:27:4 10/4/2024,27.375571,99.9,29110,38.842382,62.299683,83.356354
18:27:4 10/4/2024,28.032471,49.3,36140,38.674938,62.055946,83.356354
19:27:4 10/4/2024,29.254364,35.2,37960,38.343256,61.734093,83.356354
20:27:4 10/4/2024,28.440493,34.8,25550,38.296696,61.536859,83.356354
21:27:4 10/4/2024,27.95689,34.6,8620,38.013285,61.389348,83.356354
22:27:4 10/4/2024,27.095128,40.4,15240,37.989357,61.183426,83.356354
23:27:4 10/4/2024,25.774846,48.8,6120,37.735274,60.934306,83.356354
0:27:4 11/4/2024,24.989527,60.8,5680,37.92933,60.608572,83.356354
1:27:4 11/4/2024,26.4,70.2,1170,37.538254,60.221916,83.356354
2:27:4 11/4/2024,25.5,80.9,0,37.376027,59.780309,83.356354
3:27:4 11/4/2024,25.2,84.1,0,37.262601,59.351437,83.356354
4:27:4 11/4/2024,24.5,85.9,0,37.199197,59.001114,83.356354
5:27:4 11/4/2024,24.5,90.1,0,37.148274,58.610645,83.356354
6:27:4 11/4/2024,24.7,90.8,0,37.109966,58.320656,83.356354
7:27:4 11/4/2024,24.6,90.9,0,37.0459,58.069254,83.356354
8:27:4 11/4/2024,24.4,91.1,0,37.325727,57.828188,83.356354
9:27:4 11/4/2024,24.4,91.0,0,37.109966,57.680337,83.356354
10:27:4 11/4/2024,24.2,91.1,0,36.903996,57.519058,83.356354
11:27:4 11/4/2024,24.3,91.5,0,36.903996,57.316947,83.356354
12:27:4 11/4/2024,24.2,91.9,0,36.839061,57.156684,83.356354
13:27:4 11/4/2024,24.3,92.0,640,37.148274,57.056176,83.356354
14:27:4 11/4/2024,24.8,92.6,1490,37.109966,56.933068,83.356354
15:27:4 11/4/2024,27.611227,50.7,26320,36.78692,56.769337,83.356354
16:27:4 11/4/2024,28.513323,29.4,14410,36.773857,56.737555,83.356354
17:27:4 11/4/2024,31.312113,7.0,37780,36.773857,56.914852,82.81137
18:27:4 11/4/2024,31.687278,4.1,36230,36.78692,57.307777,82.81137
19:27:4 11/4/2024,32.189486,2.0,38720,36.826042,57.786566,82.81137
20:27:4 11/4/2024,32.379667,5.1,39490,36.865067,58.283343,82.81137
21:27:4 11/4/2024,32.051919,11.1,39880,36.865067,58.845557,82.81137
22:27:4 11/4/2024,31.105525,14.9,40370,36.981561,59.266032,82.81137
23:27:4 11/4/2024,28.219525,19.8,6960,36.91695,59.584551,83.356354
0:27:4 12/4/2024,27.29606,26.0,15510,36.629472,59.560722,83.356354
1:27:4 12/4/2024,25.864193,34.5,3520,36.483811,59.199692,83.356354
2:27:4 12/4/2024,27.3,46.2,0,36.296603,58.68102,83.356354
3:27:4 12/4/2024,26.3,53.7,0,36.148099,58.157586,83.356354
4:27:4 12/4/2024,25.8,65.2,0,36.16165,57.509855,83.356354
5:27:4 12/4/2024,25.1,74.5,0,35.874966,57.037921,83.356354
